Electoral district number,Electoral district name,Type of results,Surname,Middle name(s) ,Given name,Political affiliation,Appartenance politique,Votes obtained,% Votes obtained,Rejected ballots,Total number of ballots cast
12011,West Nova,validated,Cook,,Gloria Jane,VCP,CAC,434,.9,512,47310
12011,West Nova,validated,Deveau,,Jason,Liberal,Libéral,17025,36.4,512,47310
12011,West Nova,validated,Dubois,,Matthew,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5010,10.7,512,47310
12011,West Nova,validated,Green,,Judy N,Green Party,Parti Vert,5939,12.7,512,47310
12011,West Nova,validated,d'Entremont,,Chris,Conservative,Conservateur,18390,39.3,512,47310
13001,Acadie--Bathurst,preliminary,Cormier,,Serge,Liberal,Libéral,26519,55.1,0,48097
13001,Acadie--Bathurst,preliminary,Kryszko,,Robert,Green Party,Parti Vert,4271,8.9,0,48097
13001,Acadie--Bathurst,preliminary,Savoie,,Martine,Conservative,Conservateur,10344,21.5,0,48097
13001,Acadie--Bathurst,preliminary,Thériault,,Daniel,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6963,14.5,0,48097
13001,Acadie--Bathurst,validated,Cormier,,Serge,Liberal,Libéral,26547,55.1,924,49067
13001,Acadie--Bathurst,validated,Kryszko,,Robert,Green Party,Parti Vert,4277,8.9,924,49067
13001,Acadie--Bathurst,validated,Savoie,,Martine,Conservative,Conservateur,10352,21.5,924,49067
13001,Acadie--Bathurst,validated,Thériault,,Daniel,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6967,14.5,924,49067
13002,Beauséjour,preliminary,Bélanger,,Jean-Marc,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3937,7.3,0,53630
13002,Beauséjour,preliminary,Cormier,,Vincent,Conservative,Conservateur,9435,17.6,0,53630
13002,Beauséjour,preliminary,LeBlanc,,Dominic,Liberal,Libéral,24957,46.5,0,53630
13002,Beauséjour,preliminary,Mercier,,Nancy,People's Party,Parti populaire,1050,2,0,53630
13002,Beauséjour,preliminary,Reinsborough,,Laura,Green Party,Parti Vert,14251,26.6,0,53630
